dataset,prob,Version,run,Training,Type,avg_dist
ESEN,60-40,SP-EN,9,Trained,ES+,0.30637833687237676
ESEN,60-40,SP-EN,9,Trained,ES-,0.3019250286067309
ESEN,60-40,SP-EN,9,Trained,ES+ v L1,0.5706538294573537
ESEN,60-40,SP-EN,9,Trained,ES- v L1,0.543927922403334
ESEN,100-00,MONO,0,Untrained,ES+,0.2945983964084882
ESEN,100-00,MONO,0,Untrained,ES-,0.3079041052923474
ESEN,100-00,MONO,0,Untrained,ES+ v L1,0.557490923550826
ESEN,100-00,MONO,0,Untrained,ES- v L1,0.5796924220329771
ESEN,100-00,MONO,1,Untrained,ES+,0.309393401459071
ESEN,100-00,MONO,1,Untrained,ES-,0.31847837950507013
ESEN,100-00,MONO,1,Untrained,ES+ v L1,0.5860864148094609
ESEN,100-00,MONO,1,Untrained,ES- v L1,0.5957764307276523
ESEN,100-00,MONO,2,Untrained,ES+,0.28202463878041445
ESEN,100-00,MONO,2,Untrained,ES-,0.3135737576759137
ESEN,100-00,MONO,2,Untrained,ES+ v L1,0.5643804538783874
ESEN,100-00,MONO,2,Untrained,ES- v L1,0.5899141834407561
ESEN,100-00,MONO,3,Untrained,ES+,0.3053880140201317
ESEN,100-00,MONO,3,Untrained,ES-,0.31653380111916085
ESEN,100-00,MONO,3,Untrained,ES+ v L1,0.5815156607687715
ESEN,100-00,MONO,3,Untrained,ES- v L1,0.5964962937223283
ESEN,100-00,MONO,4,Untrained,ES+,0.29023766196757284
ESEN,100-00,MONO,4,Untrained,ES-,0.29325568218963294
ESEN,100-00,MONO,4,Untrained,ES+ v L1,0.5771330767545778
ESEN,100-00,MONO,4,Untrained,ES- v L1,0.55838913892564
ESEN,100-00,MONO,5,Untrained,ES+,0.29366846938901586
ESEN,100-00,MONO,5,Untrained,ES-,0.2997352496571729
ESEN,100-00,MONO,5,Untrained,ES+ v L1,0.5520113735773663
ESEN,100-00,MONO,5,Untrained,ES- v L1,0.5637697474554679
ESEN,100-00,MONO,6,Untrained,ES+,0.28818990665341726
ESEN,100-00,MONO,6,Untrained,ES-,0.3179241994069113
ESEN,100-00,MONO,6,Untrained,ES+ v L1,0.5514798673918757
ESEN,100-00,MONO,6,Untrained,ES- v L1,0.5759973478425747
ESEN,100-00,MONO,7,Untrained,ES+,0.30841055871357603
ESEN,100-00,MONO,7,Untrained,ES-,0.3124061916024952
ESEN,100-00,MONO,7,Untrained,ES+ v L1,0.5693882486352657
ESEN,100-00,MONO,7,Untrained,ES- v L1,0.5784330866511294
ESEN,100-00,MONO,8,Untrained,ES+,0.27616154721610126
ESEN,100-00,MONO,8,Untrained,ES-,0.294206915301185
ESEN,100-00,MONO,8,Untrained,ES+ v L1,0.5384063369285567
ESEN,100-00,MONO,8,Untrained,ES- v L1,0.5519544119188362
ESEN,100-00,MONO,9,Untrained,ES+,0.2855245401388667
ESEN,100-00,MONO,9,Untrained,ES-,0.31513217641921626
ESEN,100-00,MONO,9,Untrained,ES+ v L1,0.5484637320353605
ESEN,100-00,MONO,9,Untrained,ES- v L1,0.5796665518109635
ESEN,100-00,MONO,0,Trained,ES+,0.33264311535431745
ESEN,100-00,MONO,0,Trained,ES-,0.32930596744925145
ESEN,100-00,MONO,0,Trained,ES+ v L1,0.6330762183716563
ESEN,100-00,MONO,0,Trained,ES- v L1,0.6158048580577977
ESEN,100-00,MONO,1,Trained,ES+,0.3261076277741323
ESEN,100-00,MONO,1,Trained,ES-,0.3072170954410498
ESEN,100-00,MONO,1,Trained,ES+ v L1,0.6143866040017818
ESEN,100-00,MONO,1,Trained,ES- v L1,0.5772354622405569
ESEN,100-00,MONO,2,Trained,ES+,0.3177755401622276
ESEN,100-00,MONO,2,Trained,ES-,0.32844064289267144
ESEN,100-00,MONO,2,Trained,ES+ v L1,0.6160879787719039
ESEN,100-00,MONO,2,Trained,ES- v L1,0.6068198360740521
ESEN,100-00,MONO,3,Trained,ES+,0.3358489413057095
ESEN,100-00,MONO,3,Trained,ES-,0.3185390094463431
ESEN,100-00,MONO,3,Trained,ES+ v L1,0.654221317570228
ESEN,100-00,MONO,3,Trained,ES- v L1,0.6002036964340111
ESEN,100-00,MONO,4,Trained,ES+,0.3180011772167617
ESEN,100-00,MONO,4,Trained,ES-,0.28646982609475297
ESEN,100-00,MONO,4,Trained,ES+ v L1,0.618000897032433
ESEN,100-00,MONO,4,Trained,ES- v L1,0.5668359209741323
ESEN,100-00,MONO,5,Trained,ES+,0.30577697062041626
ESEN,100-00,MONO,5,Trained,ES-,0.30654351112159417
ESEN,100-00,MONO,5,Trained,ES+ v L1,0.5779318835309509
ESEN,100-00,MONO,5,Trained,ES- v L1,0.5673244626044515
ESEN,100-00,MONO,6,Trained,ES+,0.3132959743143079
ESEN,100-00,MONO,6,Trained,ES-,0.32652290728315253
ESEN,100-00,MONO,6,Trained,ES+ v L1,0.6230831831551367
ESEN,100-00,MONO,6,Trained,ES- v L1,0.6046503141150491
ESEN,100-00,MONO,7,Trained,ES+,0.3149228092569063
ESEN,100-00,MONO,7,Trained,ES-,0.314237388312746
ESEN,100-00,MONO,7,Trained,ES+ v L1,0.5952264785975631
ESEN,100-00,MONO,7,Trained,ES- v L1,0.5742803762323142
ESEN,100-00,MONO,8,Trained,ES+,0.3009775846459428
ESEN,100-00,MONO,8,Trained,ES-,0.28496047306941835
ESEN,100-00,MONO,8,Trained,ES+ v L1,0.5838016954593019
ESEN,100-00,MONO,8,Trained,ES- v L1,0.5284889057137707
ESEN,100-00,MONO,9,Trained,ES+,0.3045764151353366
ESEN,100-00,MONO,9,Trained,ES-,0.2991743066310686
ESEN,100-00,MONO,9,Trained,ES+ v L1,0.6038080044248259
ESEN,100-00,MONO,9,Trained,ES- v L1,0.5606569028449763
ESEU,60-40,SP-BQ,0,Untrained,ES+,0.2548321285218389
ESEU,60-40,SP-BQ,0,Untrained,ES-,0.2787815545984746
ESEU,60-40,SP-BQ,0,Untrained,ES+ v L1,0.4943801228045297
ESEU,60-40,SP-BQ,0,Untrained,ES- v L1,0.5127075298569563
ESEU,60-40,SP-BQ,1,Untrained,ES+,0.24884055523470006
ESEU,60-40,SP-BQ,1,Untrained,ES-,0.2846875310947528
ESEU,60-40,SP-BQ,1,Untrained,ES+ v L1,0.48940121723112545
ESEU,60-40,SP-BQ,1,Untrained,ES- v L1,0.5221683435224878
ESEU,60-40,SP-BQ,2,Untrained,ES+,0.2608938151968271
ESEU,60-40,SP-BQ,2,Untrained,ES-,0.2812463072784113
ESEU,60-40,SP-BQ,2,Untrained,ES+ v L1,0.4924724556821482
ESEU,60-40,SP-BQ,2,Untrained,ES- v L1,0.5203879835246296
ESEU,60-40,SP-BQ,3,Untrained,ES+,0.2686163537750319
ESEU,60-40,SP-BQ,3,Untrained,ES-,0.3087608996986031
ESEU,60-40,SP-BQ,3,Untrained,ES+ v L1,0.48279026776555656
ESEU,60-40,SP-BQ,3,Untrained,ES- v L1,0.5120943244750878
ESEU,60-40,SP-BQ,4,Untrained,ES+,0.2702731226275055
ESEU,60-40,SP-BQ,4,Untrained,ES-,0.28975221774608323
ESEU,60-40,SP-BQ,4,Untrained,ES+ v L1,0.4952707748459274
ESEU,60-40,SP-BQ,4,Untrained,ES- v L1,0.5229393228805183
ESEU,60-40,SP-BQ,5,Untrained,ES+,0.26810119301472135
ESEU,60-40,SP-BQ,5,Untrained,ES-,0.28685782243428154
