"run","Group","block","label","Score","ob1","ob2","Pred"
"0","ES-EN",1,"ES-",0.266666666666667,-0.632455532033676,0.534522483824849,0.253569348091805
"1","ES-EN",1,"ES-",0.283333333333333,-0.632455532033676,0.534522483824849,0.253756360659548
"2","ES-EN",1,"ES-",0.2125,-0.632455532033676,0.534522483824849,0.249922603020813
"3","ES-EN",1,"ES-",0.229166666666667,-0.632455532033676,0.534522483824849,0.252821297820832
"4","ES-EN",1,"ES-",0.225,-0.632455532033676,0.534522483824849,0.252073247549859
"0","ES-EU",1,"ES-",0.241666666666667,-0.632455532033676,0.534522483824849,0.251583289749801
"1","ES-EU",1,"ES-",0.241666666666667,-0.632455532033676,0.534522483824849,0.251863808601416
"2","ES-EU",1,"ES-",0.216666666666667,-0.632455532033676,0.534522483824849,0.25148978346593
"3","ES-EU",1,"ES-",0.2375,-0.632455532033676,0.534522483824849,0.2509287457627
"4","ES-EU",1,"ES-",0.275,-0.632455532033676,0.534522483824849,0.251396277182058
"0","MONO",1,"ES-",0.233333333333333,-0.632455532033676,0.534522483824849,0.242144240285966
"1","MONO",1,"ES-",0.2125,-0.632455532033676,0.534522483824849,0.239526064337562
"2","MONO",1,"ES-",0.258333333333333,-0.632455532033676,0.534522483824849,0.24233125285371
"3","MONO",1,"ES-",0.2125,-0.632455532033676,0.534522483824849,0.240928658595636
"4","MONO",1,"ES-",0.229166666666667,-0.632455532033676,0.534522483824849,0.241022164879507
"0","ES-EN",2,"ES-",0.475,-0.316227766016838,-0.267261241912424,0.437093157615615
"1","ES-EN",2,"ES-",0.4625,-0.316227766016838,-0.267261241912424,0.437280170183358
"2","ES-EN",2,"ES-",0.433333333333333,-0.316227766016838,-0.267261241912424,0.433446412544622
"3","ES-EN",2,"ES-",0.4625,-0.316227766016838,-0.267261241912424,0.436345107344642
"4","ES-EN",2,"ES-",0.45,-0.316227766016838,-0.267261241912424,0.435597057073669
"0","ES-EU",2,"ES-",0.466666666666667,-0.316227766016838,-0.267261241912424,0.436821384987896
"1","ES-EU",2,"ES-",0.4625,-0.316227766016838,-0.267261241912424,0.437101903839511
"2","ES-EU",2,"ES-",0.483333333333333,-0.316227766016838,-0.267261241912424,0.436727878704025
"3","ES-EU",2,"ES-",0.4375,-0.316227766016838,-0.267261241912424,0.436166841000795
"4","ES-EU",2,"ES-",0.433333333333333,-0.316227766016838,-0.267261241912424,0.436634372420153
"0","MONO",2,"ES-",0.433333333333333,-0.316227766016838,-0.267261241912424,0.404858526000252
"1","MONO",2,"ES-",0.404166666666667,-0.316227766016838,-0.267261241912424,0.402240350051847
"2","MONO",2,"ES-",0.433333333333333,-0.316227766016838,-0.267261241912424,0.405045538567995
"3","MONO",2,"ES-",0.458333333333333,-0.316227766016838,-0.267261241912424,0.403642944309921
"4","MONO",2,"ES-",0.4375,-0.316227766016838,-0.267261241912424,0.403736450593793
"0","ES-EN",3,"ES-",0.554166666666667,0,-0.534522483824849,0.558712205234662
"1","ES-EN",3,"ES-",0.554166666666667,0,-0.534522483824849,0.558899217802405
"2","ES-EN",3,"ES-",0.5125,0,-0.534522483824849,0.55506546016367
"3","ES-EN",3,"ES-",0.554166666666667,0,-0.534522483824849,0.557964154963689
"4","ES-EN",3,"ES-",0.575,0,-0.534522483824849,0.557216104692717
"0","ES-EU",3,"ES-",0.554166666666667,0,-0.534522483824849,0.559678527845039
"1","ES-EU",3,"ES-",0.554166666666667,0,-0.534522483824849,0.559959046696654
"2","ES-EU",3,"ES-",0.558333333333333,0,-0.534522483824849,0.559585021561168
"3","ES-EU",3,"ES-",0.566666666666667,0,-0.534522483824849,0.559023983857938
"4","ES-EU",3,"ES-",0.533333333333333,0,-0.534522483824849,0.559491515277296
"0","MONO",3,"ES-",0.520833333333333,0,-0.534522483824849,0.518763287905014
"1","MONO",3,"ES-",0.495833333333333,0,-0.534522483824849,0.51614511195661
"2","MONO",3,"ES-",0.491666666666667,0,-0.534522483824849,0.518950300472757
"3","MONO",3,"ES-",0.5,0,-0.534522483824849,0.517547706214683
"4","MONO",3,"ES-",0.5,0,-0.534522483824849,0.517641212498555
"0","ES-EN",4,"ES-",0.604166666666667,0.316227766016838,-0.267261241912425,0.618426490948948
"1","ES-EN",4,"ES-",0.629166666666667,0.316227766016838,-0.267261241912425,0.618613503516691
"2","ES-EN",4,"ES-",0.583333333333333,0.316227766016838,-0.267261241912425,0.614779745877956
"3","ES-EN",4,"ES-",0.6125,0.316227766016838,-0.267261241912425,0.617678440677975
"4","ES-EN",4,"ES-",0.604166666666667,0.316227766016838,-0.267261241912425,0.616930390407003
"0","ES-EU",4,"ES-",0.6,0.316227766016838,-0.267261241912425,0.62015471832123
"1","ES-EU",4,"ES-",0.625,0.316227766016838,-0.267261241912425,0.620435237172845
"2","ES-EU",4,"ES-",0.608333333333333,0.316227766016838,-0.267261241912425,0.620061212037358
"3","ES-EU",4,"ES-",0.608333333333333,0.316227766016838,-0.267261241912425,0.619500174334129
"4","ES-EU",4,"ES-",0.6,0.316227766016838,-0.267261241912425,0.619967705753487
"0","MONO",4,"ES-",0.579166666666667,0.316227766016838,-0.267261241912425,0.583858526000253
"1","MONO",4,"ES-",0.566666666666667,0.316227766016838,-0.267261241912425,0.581240350051848
"2","MONO",4,"ES-",0.591666666666667,0.316227766016838,-0.267261241912425,0.584045538567996
"3","MONO",4,"ES-",0.575,0.316227766016838,-0.267261241912425,0.582642944309922
"4","MONO",4,"ES-",0.5625,0.316227766016838,-0.267261241912425,0.582736450593794
"0","ES-EN",5,"ES-",0.629166666666667,0.632455532033676,0.534522483824849,0.616236014758472
"1","ES-EN",5,"ES-",0.608333333333333,0.632455532033676,0.534522483824849,0.616423027326215
"2","ES-EN",5,"ES-",0.625,0.632455532033676,0.534522483824849,0.61258926968748
