category,run,dataset,Split,Version,loss,Accuracy,lang,Set,Language
ESEN,7,ESP-EUS.csv,test_l2,ES-EN,2.934962869,20.31964807,L2_EUS,TEST,Basque (EU)
ESEN,8,ESP-ENG.csv,val_l1,ES-EN,1.95558573,35.05149114,L1,VAL,Spanish (ES)
ESEN,8,ESP-ENG.csv,val_l2,ES-EN,2.176015472,31.067629,L2_ENG,VAL,English (EN)
ESEN,8,ESP-ENG.csv,test_l1,ES-EN,1.971127462,35.31375748,L1,TEST,Spanish (ES)
ESEN,8,ESP-ENG.csv,test_l2,ES-EN,2.189806008,31.51943599,L2_ENG,TEST,English (EN)
ESEN,8,ESP-EUS.csv,val_l2,ES-EN,3.021854997,18.86491091,L2_EUS,VAL,Basque (EU)
ESEN,8,ESP-EUS.csv,test_l2,ES-EN,2.985508823,19.87978515,L2_EUS,TEST,Basque (EU)
ESEN,9,ESP-ENG.csv,val_l1,ES-EN,1.965900898,35.02464862,L1,VAL,Spanish (ES)
ESEN,9,ESP-ENG.csv,val_l2,ES-EN,2.18479116,30.55177868,L2_ENG,VAL,English (EN)
ESEN,9,ESP-ENG.csv,test_l1,ES-EN,1.981074393,34.7915388,L1,TEST,Spanish (ES)
ESEN,9,ESP-ENG.csv,test_l2,ES-EN,2.20373745,30.84642308,L2_ENG,TEST,English (EN)
ESEN,9,ESP-EUS.csv,val_l2,ES-EN,2.994102669,18.62156064,L2_EUS,VAL,Basque (EU)
ESEN,9,ESP-EUS.csv,test_l2,ES-EN,2.960900331,19.7504138,L2_EUS,TEST,Basque (EU)
ESEN,0,ESP-ENG.csv,val_l1,MONO,1.941922188,35.10010031,L1,VAL,Spanish (ES)
ESEN,0,ESP-ENG.csv,val_l2,MONO,3.037905216,17.47173773,L2_ENG,VAL,English (EN)
ESEN,0,ESP-ENG.csv,test_l1,MONO,1.953133619,34.67893892,L1,TEST,Spanish (ES)
ESEN,0,ESP-ENG.csv,test_l2,MONO,3.080645108,18.46726443,L2_ENG,TEST,English (EN)
ESEN,0,ESP-EUS.csv,val_l2,MONO,3.105452704,19.68590828,L2_EUS,VAL,Basque (EU)
ESEN,0,ESP-EUS.csv,test_l2,MONO,3.050922585,20.19016871,L2_EUS,TEST,Basque (EU)
ESEN,1,ESP-ENG.csv,val_l1,MONO,1.941230631,35.04563871,L1,VAL,Spanish (ES)
ESEN,1,ESP-ENG.csv,val_l2,MONO,3.068079805,17.3373408,L2_ENG,VAL,English (EN)
ESEN,1,ESP-ENG.csv,test_l1,MONO,1.956655645,34.32343047,L1,TEST,Spanish (ES)
ESEN,1,ESP-ENG.csv,test_l2,MONO,3.107668781,17.26672795,L2_ENG,TEST,English (EN)
ESEN,1,ESP-EUS.csv,val_l2,MONO,3.108599281,20.29622502,L2_EUS,VAL,Basque (EU)
ESEN,1,ESP-EUS.csv,test_l2,MONO,3.05851233,20.59373119,L2_EUS,TEST,Basque (EU)
ESEN,2,ESP-ENG.csv,val_l1,MONO,1.942802203,35.18414035,L1,VAL,Spanish (ES)
ESEN,2,ESP-ENG.csv,val_l2,MONO,3.090849805,17.80033214,L2_ENG,VAL,English (EN)
ESEN,2,ESP-ENG.csv,test_l1,MONO,1.955685496,34.94280475,L1,TEST,Spanish (ES)
ESEN,2,ESP-ENG.csv,test_l2,MONO,3.127761722,18.15754949,L2_ENG,TEST,English (EN)
ESEN,2,ESP-EUS.csv,val_l2,MONO,3.109966016,20.83836385,L2_EUS,VAL,Basque (EU)
ESEN,2,ESP-EUS.csv,test_l2,MONO,3.056556058,20.5407339,L2_EUS,TEST,Basque (EU)
ESEN,3,ESP-ENG.csv,val_l1,MONO,1.943529689,35.17687097,L1,VAL,Spanish (ES)
ESEN,3,ESP-ENG.csv,val_l2,MONO,3.025363684,17.8831041,L2_ENG,VAL,English (EN)
ESEN,3,ESP-ENG.csv,test_l1,MONO,1.957464623,34.97147779,L1,TEST,Spanish (ES)
ESEN,3,ESP-ENG.csv,test_l2,MONO,3.069908667,18.58420658,L2_ENG,TEST,English (EN)
ESEN,3,ESP-EUS.csv,val_l2,MONO,3.097584891,20.26249107,L2_EUS,VAL,Basque (EU)
ESEN,3,ESP-EUS.csv,test_l2,MONO,3.051465273,20.75769174,L2_EUS,TEST,Basque (EU)
ESEN,4,ESP-ENG.csv,val_l1,MONO,1.924950695,35.03370494,L1,VAL,Spanish (ES)
ESEN,4,ESP-ENG.csv,val_l2,MONO,3.058056045,17.79835796,L2_ENG,VAL,English (EN)
ESEN,4,ESP-ENG.csv,test_l1,MONO,1.93261553,35.60580245,L1,TEST,Spanish (ES)
ESEN,4,ESP-ENG.csv,test_l2,MONO,3.100243497,18.26593605,L2_ENG,TEST,English (EN)
ESEN,4,ESP-EUS.csv,val_l2,MONO,3.113299108,20.39775262,L2_EUS,VAL,Basque (EU)
ESEN,4,ESP-EUS.csv,test_l2,MONO,3.05960815,20.43002977,L2_EUS,TEST,Basque (EU)
ESEN,5,ESP-ENG.csv,val_l1,MONO,1.939399827,35.25402641,L1,VAL,Spanish (ES)
ESEN,5,ESP-ENG.csv,val_l2,MONO,3.064236069,17.52713803,L2_ENG,VAL,English (EN)
ESEN,5,ESP-ENG.csv,test_l1,MONO,1.954936683,34.82862954,L1,TEST,Spanish (ES)
ESEN,5,ESP-ENG.csv,test_l2,MONO,3.108554983,18.02763208,L2_ENG,TEST,English (EN)
ESEN,5,ESP-EUS.csv,val_l2,MONO,3.138797617,20.17245525,L2_EUS,VAL,Basque (EU)
ESEN,5,ESP-EUS.csv,test_l2,MONO,3.085506153,20.75237263,L2_EUS,TEST,Basque (EU)
ESEN,6,ESP-ENG.csv,val_l1,MONO,1.940759814,35.1453548,L1,VAL,Spanish (ES)
ESEN,6,ESP-ENG.csv,val_l2,MONO,3.031837726,18.22990849,L2_ENG,VAL,English (EN)
ESEN,6,ESP-ENG.csv,test_l1,MONO,1.951928067,34.68948466,L1,TEST,Spanish (ES)
ESEN,6,ESP-ENG.csv,test_l2,MONO,3.069604707,18.42066263,L2_ENG,TEST,English (EN)
ESEN,6,ESP-EUS.csv,val_l2,MONO,3.079764509,19.87738636,L2_EUS,VAL,Basque (EU)
ESEN,6,ESP-EUS.csv,test_l2,MONO,3.027850485,20.68326485,L2_EUS,TEST,Basque (EU)
ESEN,7,ESP-ENG.csv,val_l1,MONO,1.936464703,35.21764528,L1,VAL,Spanish (ES)
ESEN,7,ESP-ENG.csv,val_l2,MONO,3.085181165,18.15054828,L2_ENG,VAL,English (EN)
ESEN,7,ESP-ENG.csv,test_l1,MONO,1.947578919,35.13029339,L1,TEST,Spanish (ES)
ESEN,7,ESP-ENG.csv,test_l2,MONO,3.128212476,18.68233394,L2_ENG,TEST,English (EN)
ESEN,7,ESP-EUS.csv,val_l2,MONO,3.107651401,19.9779015,L2_EUS,VAL,Basque (EU)
ESEN,7,ESP-EUS.csv,test_l2,MONO,3.057900238,20.21811938,L2_EUS,TEST,Basque (EU)
ESEN,8,ESP-ENG.csv,val_l1,MONO,1.935706961,35.15604481,L1,VAL,Spanish (ES)
ESEN,8,ESP-ENG.csv,val_l2,MONO,3.077030516,17.76497633,L2_ENG,VAL,English (EN)
ESEN,8,ESP-ENG.csv,test_l1,MONO,1.943500686,35.17932901,L1,TEST,Spanish (ES)
ESEN,8,ESP-ENG.csv,test_l2,MONO,3.125292802,18.5301526,L2_ENG,TEST,English (EN)
ESEN,8,ESP-EUS.csv,val_l2,MONO,3.124311996,20.33018193,L2_EUS,VAL,Basque (EU)
ESEN,8,ESP-EUS.csv,test_l2,MONO,3.067147946,20.84769409,L2_EUS,TEST,Basque (EU)
ESEN,9,ESP-ENG.csv,val_l1,MONO,1.95351361,35.03437961,L1,VAL,Spanish (ES)
ESEN,9,ESP-ENG.csv,val_l2,MONO,3.039247561,17.3173502,L2_ENG,VAL,English (EN)
ESEN,9,ESP-ENG.csv,test_l1,MONO,1.958911419,34.85884116,L1,TEST,Spanish (ES)
ESEN,9,ESP-ENG.csv,test_l2,MONO,3.075741887,18.06579394,L2_ENG,TEST,English (EN)
ESEN,9,ESP-EUS.csv,val_l2,MONO,3.098789692,19.04222056,L2_EUS,VAL,Basque (EU)
ESEN,9,ESP-EUS.csv,test_l2,MONO,3.044211364,19.53755229,L2_EUS,TEST,Basque (EU)
ESEU,0,ESP-ENG.csv,val_l1,ES-EU,1.976202667,34.99775884,L1,VAL,Spanish (ES)
ESEU,0,ESP-ENG.csv,val_l2,ES-EU,3.113547373,18.24565085,L2_ENG,VAL,English (EN)
ESEU,0,ESP-ENG.csv,test_l1,ES-EU,1.994216073,34.66189744,L1,TEST,Spanish (ES)
ESEU,0,ESP-ENG.csv,test_l2,ES-EU,3.152452135,18.62646361,L2_ENG,TEST,English (EN)
ESEU,0,ESP-EUS.csv,val_l2,ES-EU,2.042771614,32.56645172,L2_EUS,VAL,Basque (EU)
ESEU,0,ESP-EUS.csv,test_l2,ES-EU,2.034086049,33.98430239,L2_EUS,TEST,Basque (EU)
ESEU,1,ESP-ENG.csv,val_l1,ES-EU,1.975004613,35.12094425,L1,VAL,Spanish (ES)
ESEU,1,ESP-ENG.csv,val_l2,ES-EU,3.18015132,18.01639295,L2_ENG,VAL,English (EN)
ESEU,1,ESP-ENG.csv,test_l1,ES-EU,1.987517202,34.99776704,L1,TEST,Spanish (ES)
ESEU,1,ESP-ENG.csv,test_l2,ES-EU,3.224444342,18.91460931,L2_ENG,TEST,English (EN)
ESEU,1,ESP-EUS.csv,val_l2,ES-EU,2.035904825,33.12398323,L2_EUS,VAL,Basque (EU)
ESEU,1,ESP-EUS.csv,test_l2,ES-EU,2.031782722,33.61363983,L2_EUS,TEST,Basque (EU)
ESEU,2,ESP-ENG.csv,val_l1,ES-EU,1.976972592,35.11589296,L1,VAL,Spanish (ES)
ESEU,2,ESP-ENG.csv,val_l2,ES-EU,3.143720198,17.10890657,L2_ENG,VAL,English (EN)
ESEU,2,ESP-ENG.csv,test_l1,ES-EU,1.995759678,35.14355685,L1,TEST,Spanish (ES)
ESEU,2,ESP-ENG.csv,test_l2,ES-EU,3.161466789,18.23783324,L2_ENG,TEST,English (EN)
ESEU,2,ESP-EUS.csv,val_l2,ES-EU,2.042489803,32.63625282,L2_EUS,VAL,Basque (EU)
ESEU,2,ESP-EUS.csv,test_l2,ES-EU,2.040488923,33.15526625,L2_EUS,TEST,Basque (EU)
ESEU,3,ESP-ENG.csv,val_l1,ES-EU,1.983101499,35.06689409,L1,VAL,Spanish (ES)
ESEU,3,ESP-ENG.csv,val_l2,ES-EU,3.143040991,17.55709854,L2_ENG,VAL,English (EN)
ESEU,3,ESP-ENG.csv,test_l1,ES-EU,1.989136922,35.20488175,L1,TEST,Spanish (ES)
ESEU,3,ESP-ENG.csv,test_l2,ES-EU,3.176925921,17.8377045,L2_ENG,TEST,English (EN)
