Version,Run,Split,Epoch,Accuracy,Loss
ES-EN,0,train,1,19.244677429763982,2.7187782381520105
ES-EN,0,train,2,24.13963878637044,2.400562329725787
ES-EN,0,train,3,25.713555216240728,2.330424626668293
ES-EN,0,train,4,27.035469214388804,2.285709628553101
ES-EN,0,train,5,27.70291931335739,2.2556155992276734
ES-EN,0,train,6,28.298202323163125,2.2325051300453422
ES-EN,0,train,7,28.652628724354216,2.214441362655524
ES-EN,0,train,8,29.139005410399786,2.1988324559096144
ES-EN,0,train,9,29.26421630112046,2.188287794589995
ES-EN,0,train,10,29.731699145569912,2.1749757961793383
ES-EN,0,train,11,30.02664580329686,2.163413147131602
ES-EN,0,train,12,30.321027010083053,2.1534574393070103
ES-EN,0,train,13,30.636414232471807,2.1436641035657944
ES-EN,0,train,14,30.86947608330755,2.1368262821977786
ES-EN,0,train,15,31.072829116957116,2.129564653743398
ES-EN,0,train,16,31.166754305794093,2.1232768766807784
ES-EN,0,train,17,31.462732615265498,2.1152446432547145
ES-EN,0,train,18,31.733557454932193,2.1093997937260256
ES-EN,0,train,19,31.929042756793393,2.1034402160933516
ES-EN,0,train,20,32.08328953384859,2.0952469381419094
ES-EN,0,train,21,32.24088591440566,2.089978409535957
ES-EN,0,train,22,32.33193159476937,2.0849041776223625
ES-EN,0,train,23,32.369019056400624,2.0820046040144833
ES-EN,0,train,24,32.727623470186934,2.074608810020214
ES-EN,0,train,25,32.76666749896934,2.0710041378483606
ES-EN,0,train,26,33.02312889235679,2.06614002585411
ES-EN,0,train,27,33.03281022104989,2.061137022394124
ES-EN,0,train,28,33.31271517286242,2.0572382663235533
ES-EN,0,train,29,33.34497906072319,2.052647571672093
ES-EN,0,train,30,33.51012341064501,2.0493369310191176
ES-EN,0,train,31,33.784219179526836,2.0425700888489224
ES-EN,0,train,32,33.71787098295804,2.040815160130009
ES-EN,0,train,33,33.7513691537256,2.0364358253551256
ES-EN,0,train,34,34.01035997348256,2.0324855835148785
ES-EN,0,train,35,33.94433253321511,2.0281501005996354
ES-EN,0,train,36,34.274828689373095,2.0232189767288444
ES-EN,0,train,37,34.32661499351581,2.021992975112162
ES-EN,0,train,38,34.47640066734913,2.0177035440098168
ES-EN,0,train,39,34.446181705774165,2.0135172831289685
ES-EN,0,train,40,34.58307347431849,2.010589418989239
ES-EN,0,train,41,34.767453272291945,2.007039319385182
ES-EN,0,train,42,34.75792913736463,2.0027685147343264
ES-EN,0,train,43,34.97200672471366,1.9996204647150908
ES-EN,0,train,44,35.12001182639484,1.9970162845019133
ES-EN,0,train,45,35.1791428165789,1.9947107651016933
ES-EN,0,train,46,35.257402208660736,1.990517073508465
ES-EN,0,train,47,35.31152911345947,1.9867428947578771
ES-EN,0,train,48,35.56576031014657,1.984091437224186
ES-EN,0,train,49,35.47071336753095,1.9816991605541925
ES-EN,0,train,50,35.695411842199654,1.9767437712712728
ES-EN,0,val_l1,1,26.01974681411854,2.315743327140808
ES-EN,0,val_l1,2,28.152365915045806,2.2055152654647827
ES-EN,0,val_l1,3,29.827802590407344,2.1538166761398316
ES-EN,0,val_l1,4,30.469571814110715,2.1223870277404786
ES-EN,0,val_l1,5,30.67813101670417,2.096170163154602
ES-EN,0,val_l1,6,31.4384448429583,2.0831918239593508
ES-EN,0,val_l1,7,31.955352448346446,2.064407467842102
ES-EN,0,val_l1,8,32.119133827952226,2.0525920629501346
ES-EN,0,val_l1,9,32.35940133090194,2.046332192420959
ES-EN,0,val_l1,10,32.59145061582317,2.0315138578414915
ES-EN,0,val_l1,11,33.13783946151514,2.0260785579681393
ES-EN,0,val_l1,12,33.3851093795349,2.015628433227539
ES-EN,0,val_l1,13,33.52847143248094,2.0130761504173282
ES-EN,0,val_l1,14,33.25788627054395,2.017566633224487
ES-EN,0,val_l1,15,33.56128701815449,2.0042430996894836
ES-EN,0,val_l1,16,33.65050156067337,1.9997454524040224
ES-EN,0,val_l1,17,33.86061840496245,1.995485532283783
ES-EN,0,val_l1,18,33.89668984477821,1.9914958238601683
ES-EN,0,val_l1,19,33.88851065383687,1.9873683929443358
ES-EN,0,val_l1,20,34.00687628401876,1.9869968891143799
ES-EN,0,val_l1,21,34.1036706316908,1.9803361773490906
ES-EN,0,val_l1,22,34.19831407843022,1.9780657291412354
ES-EN,0,val_l1,23,34.039075250435936,1.9847728729248049
ES-EN,0,val_l1,24,34.34916721989847,1.9721675515174864
ES-EN,0,val_l1,25,34.28091248377095,1.9770840644836425
ES-EN,0,val_l1,26,34.40153216162573,1.969498062133789
ES-EN,0,val_l1,27,34.407186369539914,1.9689627408981325
ES-EN,0,val_l1,28,34.51750657951332,1.967484176158905
ES-EN,0,val_l1,29,34.78037188508131,1.963365387916565
ES-EN,0,val_l1,30,34.60198242505395,1.9615208983421326
ES-EN,0,val_l1,31,34.66829324412913,1.9641202688217163
ES-EN,0,val_l1,32,34.39582736135204,1.9653153657913207
ES-EN,0,val_l1,33,34.88445806617109,1.956618571281433
ES-EN,0,val_l1,34,34.751804555016925,1.9565835118293762
ES-EN,0,val_l1,35,34.993731652540596,1.9540523886680603
ES-EN,0,val_l1,36,34.67261079273745,1.9609254837036134
ES-EN,0,val_l1,37,34.615078055940586,1.9562408924102783
ES-EN,0,val_l1,38,35.00571574350959,1.9599989414215089
ES-EN,0,val_l1,39,34.810978266204245,1.9608433723449707
ES-EN,0,val_l1,40,34.876852073680936,1.9534821391105652
ES-EN,0,val_l1,41,35.040165465309514,1.9550796270370483
ES-EN,0,val_l1,42,34.98424510871486,1.9559574961662292
ES-EN,0,val_l1,43,35.15689867632068,1.9536303520202636
ES-EN,0,val_l1,44,35.04513861002515,1.9508897185325622
ES-EN,0,val_l1,45,34.93064869082856,1.948233699798584
ES-EN,0,val_l1,46,35.352093736390046,1.9469560265541075
ES-EN,0,val_l1,47,35.140472447213945,1.9500186324119568
ES-EN,0,val_l1,48,35.01351442660678,1.9494482398033142
ES-EN,0,val_l1,49,35.325683449689514,1.9504235267639158
ES-EN,0,val_l1,50,34.97035018581632,1.9502772212028505
ES-EN,0,val_l2,1,21.611113662123277,2.5982083797454836
ES-EN,0,val_l2,2,23.477930179888904,2.4717771053314213
ES-EN,0,val_l2,3,25.033020027325012,2.420505928993225
ES-EN,0,val_l2,4,25.658428866045757,2.375528573989868
ES-EN,0,val_l2,5,26.349393178232056,2.3526939868927004
ES-EN,0,val_l2,6,26.908270958532977,2.325995063781738
ES-EN,0,val_l2,7,27.10969921531304,2.3109483957290653
